match_id,liga,home,away,inicio_local,actualizado,1x2_home,1x2_away,1x2_draw,hdp_home_1.25,hdp_away_-1.25,goles_2.5_over,goles_2.5_under,goles_1.5_over,goles_1.5_under,goles_tt_home_0.5_over,goles_tt_home_0.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_total_10.0_over,corners_total_10.0_under,corners_home_3.5_over,corners_home_3.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_-0.25,hdp_away_0.25,goles_2.25_over,goles_2.25_under,goles_1.25_over,goles_1.25_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_9.5_over,corners_total_9.5_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_3.5_over,corners_away_3.5_under,hdp_home_-1.25,hdp_away_1.25,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,corners_home_5.5_over,corners_home_5.5_under,corners_away_2.5_over,corners_away_2.5_under,hdp_home_-0.5,hdp_away_0.5,hdp_home_-0.75,hdp_away_0.75,corners_total_10.5_over,corners_total_10.5_under,hdp_home_0.25,hdp_away_-0.25,corners_away_4.5_over,corners_away_4.5_under,hdp_home_-1.75,hdp_away_1.75,goles_tt_home_2.5_over,goles_tt_home_2.5_under,corners_home_7.5_over,corners_home_7.5_under,hdp_home_0.5,hdp_away_-0.5,goles_3.0_over,goles_3.0_under,goles_2.0_over,goles_2.0_under,hdp_home_0.0,hdp_away_-0.0,hdp_home_-1.0,hdp_away_1.0,corners_home_6.5_over,corners_home_6.5_under,hdp_home_-2.5,hdp_away_2.5,goles_3.75_over,goles_3.75_under,goles_tt_home_3.5_over,goles_tt_home_3.5_under,goles_1.0_over,goles_1.0_under,hdp_home_-2.0,hdp_away_2.0,goles_4.5_over,goles_4.5_under,goles_3.5_over,goles_3.5_under,corners_total_11.0_over,corners_total_11.0_under,hdp_home_1.0,hdp_away_-1.0,goles_3.25_over,goles_3.25_under,goles_tt_away_2.5_over,goles_tt_away_2.5_under,hdp_home_0.75,hdp_away_-0.75,corners_total_11.5_over,corners_total_11.5_under,hdp_home_-2.25,hdp_away_2.25,corners_total_12.0_over,corners_total_12.0_under,corners_away_6.5_over,corners_away_6.5_under,hdp_home_-1.5,hdp_away_1.5,hdp_home_1.75,hdp_away_-1.75
1634425787,Premier League,Bournemouth,Everton,2026-08-29 10:00,2026-08-28 15:36:19,2.08,3.66,3.57,,,1.9091,1.9804,1.2801,3.85,,,,,,,,,,,,,,,,,2.04,1.8065,1.4049,3.02,,,,,,,,,,,,,1.7042,2.07,,,2.09,1.8333,,,,,,,2.12,1.6757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,1.5076,,,,,,,,,,
1634444737,Premier League,Coventry City,Hull City,2026-08-29 10:00,2026-08-28 15:36:54,1.8772,4.61,3.49,,,1.9434,1.9434,1.2874,3.78,,,,,,,,,,,,,,,,,1.9091,1.9259,1.4975,2.66,,,,,1.8333,1.9259,,,,,,,1.9434,1.8197,,,1.885,2.02,,,2.48,1.5128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634425792,La Liga,Levante,Real Betis,2026-08-29 11:00,2026-08-28 15:38:28,3.42,2.22,3.44,,,2.0,1.8929,1.3086,3.61,,,2.22,1.6897,,,,,,,,,,,,,3.02,1.4032,,,,,1.8,1.9615,,,,,,,,,,,,,,,,,2.34,1.5747,1.9901,1.9174,1.9259,1.8403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634112812,Ligue 1,Strasbourg,RC Lens,2026-08-29 11:15,2026-08-28 15:37:11,3.68,2.09,3.51,,,,,,,,,1.8403,2.0,,,,,,,,,,,,,2.56,1.5319,,,,,2.0,1.7634,,,,,,,,,,,,,,,,,2.32,1.5747,,,1.7092,2.09,,,,,,,1.8197,2.1,2.06,1.8403,1.2801,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633204547,Premier League,Tottenham,Newcastle,2026-08-29 12:30,2026-08-28 15:36:08,2.3,2.96,3.82,,,,,,,,,2.29,1.6452,,,,,,,2.02,1.885,,,,,1.9615,1.8696,,,,,,,,,,,,,,,1.6803,2.11,,,,,,,,,,,1.9174,1.8475,,,,,,,,,2.04,1.8547,1.2732,3.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.29,1.5988,,,,,,,,,,
1634440424,Serie A,Sassuolo,Torino,2026-08-29 12:30,2026-08-28 15:39:47,2.29,3.35,3.35,,,2.07,1.8333,1.3289,3.47,,,,,2.55,1.4854,,,,,1.9709,1.9346,,,,,2.32,1.6329,1.4049,3.02,,,1.6803,2.11,1.7634,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634444743,Serie A,Fiorentina,Frosinone,2026-08-29 12:30,2026-08-28 15:39:43,1.641,5.32,4.16,,,,,,,,,,,,,,,,,,,,,,,1.6993,2.2,1.578,2.44,,,,,1.8403,1.9259,,,2.03,1.8621,1.3096,3.6,1.9524,1.813,,,,,1.8264,2.1,2.52,1.4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634425790,Serie A,Monza,Udinese,2026-08-29 12:30,2026-08-28 15:39:23,3.24,2.43,3.2,,,,,,,1.4464,2.84,2.63,1.5076,,,,,,,,,2.01,1.8772,1.2653,3.99,,,,,2.29,1.5988,2.06,1.7143,,,,,,,,,,,,,,,,,,,1.8403,2.07,2.09,1.6944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634425793,La Liga,Real Sociedad,Espanyol,2026-08-29 13:00,2026-08-28 15:38:48,1.9091,4.12,3.72,,,1.8929,2.0,1.277,3.87,,,,,,,,,,,,,,,,,1.9259,1.9091,1.4587,2.79,,,,,1.7576,2.01,,,,,,,1.8772,1.8929,,,1.9174,1.9901,,,2.36,1.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634112960,Ligue 1,Auxerre,Angers SCO,2026-08-29 14:45,2026-08-28 15:37:16,1.9709,4.08,3.55,,,2.06,1.8403,1.3268,3.48,,,,,,,,,,,,,,,,,2.08,1.7752,1.5025,2.65,,,,,1.8621,1.9091,,,,,,,1.9434,1.8264,,,1.9804,1.9259,,,2.52,1.4878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
