liga,home,away,inicio_utc,inicio_local,1x2_home,1x2_away,1x2_draw,hdp_home_0.5,hdp_away_-0.5,goles_2.75_over,goles_2.75_under,goles_1.75_over,goles_1.75_under,goles_tt_home_1.5_over,goles_tt_home_1.5_under,goles_tt_away_1.5_over,goles_tt_away_1.5_under,corners_total_12.0_over,corners_total_12.0_under,corners_home_4.5_over,corners_home_4.5_under,corners_away_5.5_over,corners_away_5.5_under,hdp_home_-0.75,hdp_away_0.75,goles_2.25_over,goles_2.25_under,goles_1.25_over,goles_1.25_under,goles_tt_away_0.5_over,goles_tt_away_0.5_under,corners_total_9.5_over,corners_total_9.5_under,corners_away_2.5_over,corners_away_2.5_under
FIFA - World Cup,Norway,England,2026-07-11T21:00:00Z,2026-07-11 17:00,3.94,1.9901,3.74,1.9259,1.9901,1.9091,2.0,1.2375,4.04,2.8,1.4484,1.8264,2.0,3.19,1.2427,2.24,1.6098,1.9091,1.8772,,,,,,,,,,,,
FIFA - World Cup,Argentina,Switzerland,2026-07-12T01:00:00Z,2026-07-11 21:00,1.7092,6.1,3.63,,,,,,,2.0,1.8264,,,,,1.8547,1.9091,,,1.9259,2.0,2.04,1.8772,1.2469,3.95,1.8065,2.03,3.01,1.2342,1.6579,2.14
